exchange_symbol,symbol,size_multiplier
LTCBUSD,BUF/P_LTCBUSD,100.0
LTCUSDT,BUF/P_LTCUSDT,1000.0
LUNA2BUSD,BUF/P_LUNA2BUSD,1.0
LUNA2USDT,BUF/P_LUNA2USDT,1.0
LUNABUSD,BUF/P_LUNABUSD,1.0
LUNAUSDT,BUF/P_LUNAUSDT,1.0
MAGICUSDT,BUF/P_MAGICUSDT,10.0
MANAUSDT,BUF/P_MANAUSDT,1.0
MASKUSDT,BUF/P_MASKUSDT,1.0
MATICBUSD,BUF/P_MATICBUSD,1.0
MATICUSDT,BUF/P_MATICUSDT,1.0
MAVUSDT,BUF/P_MAVUSDT,1.0
MDTUSDT,BUF/P_MDTUSDT,1.0
MINAUSDT,BUF/P_MINAUSDT,1.0
MKRUSDT,BUF/P_MKRUSDT,1000.0
MTLUSDT,BUF/P_MTLUSDT,1.0
NEARBUSD,BUF/P_NEARBUSD,10.0
NEARUSDT,BUF/P_NEARUSDT,1.0
NEOUSDT,BUF/P_NEOUSDT,100.0
NKNUSDT,BUF/P_NKNUSDT,1.0
NMRUSDT,BUF/P_NMRUSDT,10.0
NUUSDT,BUF/P_NUUSDT,10.0
OCEANUSDT,BUF/P_OCEANUSDT,1.0
OGNUSDT,BUF/P_OGNUSDT,1.0
OMGUSDT,BUF/P_OMGUSDT,10.0
ONEUSDT,BUF/P_ONEUSDT,1.0
ONTUSDT,BUF/P_ONTUSDT,10.0
OPUSDT,BUF/P_OPUSDT,10.0
PENDLEUSDT,BUF/P_PENDLEUSDT,1.0
PEOPLEUSDT,BUF/P_PEOPLEUSDT,1.0
PERPUSDT,BUF/P_PERPUSDT,10.0
PHBBUSD,BUF/P_PHBBUSD,1.0
PHBUSDT,BUF/P_PHBUSDT,1.0
QNTUSDT,BUF/P_QNTUSDT,10.0
QTUMUSDT,BUF/P_QTUMUSDT,10.0
RADUSDT,BUF/P_RADUSDT,1.0
RAYUSDT,BUF/P_RAYUSDT,10.0
RDNTUSDT,BUF/P_RDNTUSDT,1.0
REEFUSDT,BUF/P_REEFUSDT,1.0
RENUSDT,BUF/P_RENUSDT,1.0
RLCUSDT,BUF/P_RLCUSDT,10.0
RNDRUSDT,BUF/P_RNDRUSDT,10.0
ROSEUSDT,BUF/P_ROSEUSDT,1.0
RSRUSDT,BUF/P_RSRUSDT,1.0
RUNEUSDT,BUF/P_RUNEUSDT,1.0
RVNUSDT,BUF/P_RVNUSDT,1.0
SANDBUSD,BUF/P_SANDBUSD,10.0
SANDUSDT,BUF/P_SANDUSDT,1.0
SCUSDT,BUF/P_SCUSDT,1.0
SFPUSDT,BUF/P_SFPUSDT,1.0
SKLUSDT,BUF/P_SKLUSDT,1.0
SNXUSDT,BUF/P_SNXUSDT,10.0
SOLBUSD,BUF/P_SOLBUSD,1.0
SOLUSDT,BUF/P_SOLUSDT,1.0
SPELLUSDT,BUF/P_SPELLUSDT,1.0
SRMUSDT,BUF/P_SRMUSDT,1.0
SSVUSDT,BUF/P_SSVUSDT,100.0
STGUSDT,BUF/P_STGUSDT,1.0
STMXUSDT,BUF/P_STMXUSDT,1.0
STORJUSDT,BUF/P_STORJUSDT,1.0
STXUSDT,BUF/P_STXUSDT,1.0
SUIUSDT,BUF/P_SUIUSDT,10.0
SUSHIUSDT,BUF/P_SUSHIUSDT,1.0
SXPUSDT,BUF/P_SXPUSDT,10.0
THETAUSDT,BUF/P_THETAUSDT,10.0
TLMBUSD,BUF/P_TLMBUSD,1.0
TLMUSDT,BUF/P_TLMUSDT,1.0
TOMOUSDT,BUF/P_TOMOUSDT,1.0
TRBUSDT,BUF/P_TRBUSDT,10.0
TRUUSDT,BUF/P_TRUUSDT,1.0
TRXBUSD,BUF/P_TRXBUSD,1.0
TRXUSDT,BUF/P_TRXUSDT,1.0
TUSDT,BUF/P_TUSDT,1.0
UMAUSDT,BUF/P_UMAUSDT,1.0
UNFIUSDT,BUF/P_UNFIUSDT,10.0
UNIBUSD,BUF/P_UNIBUSD,10.0
UNIUSDT,BUF/P_UNIUSDT,1.0
USDCUSDT,BUF/P_USDCUSDT,1.0
VETUSDT,BUF/P_VETUSDT,1.0
WAVESBUSD,BUF/P_WAVESBUSD,10.0
WAVESUSDT,BUF/P_WAVESUSDT,10.0
WLDUSDT,BUF/P_WLDUSDT,1.0
WOOUSDT,BUF/P_WOOUSDT,1.0
XEMUSDT,BUF/P_XEMUSDT,1.0
